TINWSYS_IS_NUMBER,WATER_SYSTEM_NUMBER,SYSTEM_NAME,REGULATING_AGENCY,COUNTY,FEDERAL_CLASSIFICATION_TYPE,SERVICE_CONNECTIONS,POPULATION,OWNER_TYPE,PL_ADDRESS,PL_ADDRESS_CITY_NAME,PL_ADDRESS_STATE_CODE,PL_ADDRESS_ZIP_CODE,LATITUDE_MEASURE,LONGITUDE_MEASURE,SERVICE_AREA_ECONOMIC_STATUS,MHI,CALENVIRO_SCREEN_SCORE,RISK_ASSESSMENT_RESULT,CURRENT_FAILING,FINAL_SAFER_STATUS,FAILING_START_DATE,PRIMARY_MCL_VIOLATION,PRIMARY_ANALYTES,SECONDARY_MCL_VIOLATION,SECONDARY_ANALYTES,E_COLI_VIOLATION,E_COLI_ANALYTES,TREATMENT_TECHNIQUE_VIOLATION,TT_ANALYTES,MONITORING_AND_REPORTING_VIOLATION,MONITORING_AND_REPORTING_ANALYTES,SOURCE_CAPACITY_VIOLATION,SOURCE_CAPACITY_ANALYTES,TOTAL_WEIGHTED_RISK_SCORE_BEFORE_DIVIDING_BY_CATEGORY_COUNT,WEIGHTED_WATER_QUALITY_SCORE,WATER_QUALITY_SCORE,WATER_QUALITY_PERCENTAGE_OF_TOTAL_RISK_SCORE,WATER_QUALITY_RISK_LEVEL,WEIGHTED_ACCESSIBILITY_SCORE,ACCESSIBILITY_SCORE,ACCESSIBILITY_PERCENTAGE_OF_TOTAL_RISK_SCORE,ASSESSIBILITY_RISK_LEVEL,WEIGHTED_AFFORDABILITY_SCORE,AFFORDABILITY_SCORE,AFFORDABILITY_PERCENTAGE_OF_TOTAL_RISK_SCORE,AFFORDABILITY_RISK_LEVEL,WEIGHTED_TMF_CAPACITY_SCORE,TMF_CAPACITY_SCORE,TMF_CAPACITY_PERCENTAGE_OF_TOTAL_RISK_SCORE,TMF_CAPACITY_RISK_LEVEL,HISTORY_OF_E_COLI_PRESENCE_RISK_LEVEL,HISTORY_OF_E_COLI_PRESENCE_THRESHOLD_MET,HISTORY_OF_E_COLI_PRESENCE_RAW_SCORE,HISTORY_OF_E_COLI_PRESENCE_WEIGHTED_SCORE,INCREASING_PRESENCE_OF_WATER_QUALITY_TRENDS_TOWARD_MCL_RISK_LEVEL,INCREASING_PRESENCE_OF_WATER_QUALITY_TRENDS_TOWARD_MCL_THRESHOLD_MET,INCREASING_PRESENCE_OF_WATER_QUALITY_TRENDS_TOWARD_MCL_RAW_SCORE,INCREASING_PRESENCE_OF_WATER_QUALITY_TRENDS_TOWARD_MCL_WEIGHTED_SCORE,TREATMENT_TECHNIUQE_VIOLATIONS_RISK_LEVEL,TREATMENT_TECHNIUQE_VIOLATIONS_THRESHOLD_MET,TREATMENT_TECHNIUQE_VIOLATIONS_RAW_SCORE,TREATMENT_TECHNIUQE_VIOLATIONS_WEIGHTED_SCORE,PAST_PRESENCE_ON_THE_FAILING_LIST_RISK_LEVEL,PAST_PRESENCE_ON_THE_FAILING_LIST_THRESHOLD_MET,PAST_PRESENCE_ON_THE_FAILING_LIST_RAW_SCORE,PAST_PRESENCE_ON_THE_FAILING_LIST_WEIGHTED_SCORE,CONSTITUENTS_OF_EMERGING_CONCERN_RISK_LEVEL,CONSTITUENTS_OF_EMERGING_CONCERN_THRESHOLD_MET,CONSTITUENTS_OF_EMERGING_CONCERN_RAW_SCORE,CONSTITUENTS_OF_EMERGING_CONCERN_WEIGHTED_SCORE,PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_RISK_LEVEL,PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_THRESHOLD_MET,PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_RAW_SCORE,PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_WEIGHTED_SCORE,NUMBER_OF_WATER_SOURCES_RISK_LEVEL,NUMBER_OF_WATER_SOURCES_THRESHOLD_MET,NUMBER_OF_WATER_SOURCES_RAW_SCORE,NUMBER_OF_WATER_SOURCES_WEIGHTED_RAW_SCORE,ABESENCE_OF_INTERTIES_RISK_LEVEL,ABESENCE_OF_INTERTIES_THRESHOLD_MET,ABESENCE_OF_INTERTIES_RAW_SCORE,ABESENCE_OF_INTERTIES_WEIGHTED_SCORE,SOURCE_CAPACITY_VIOLATION_RISK_LEVEL,SOURCE_CAPACITY_VIOLATIONS_THRESHOLD_MET,SOURCE_CAPACITY_VIOLATIONS_RAW_SCORE,SOURCE_CAPACITY_VIOLATIONS_WEIGHTED_SCORE,BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_RISK_LEVEL,BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_THRESHOLD_MET,BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_RAW_SCORE,BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_WEIGHTED_SCORE,DWR_DROUGHT_AND_WATER_SHORTAGE_RISK_ASSESSMENT_PERCENTILE_RISK_LEVEL,DWR_DROUGHT_AND_WATER_SHORTAGE_RISK_ASSESSMENT_PERCENTILE_THRESHOLD_MET,DWR_DROUGHT_AND_WATER_SHORTAGE_RISK_ASSESSMENT_PERCENTILE_RAW_SCORE,DWR_DROUGHT_AND_WATER_SHORTAGE_RISK_ASSESSMENT_PERCENTILE_WEIGHTED_SCORE,CRITICALLY_OVERDRAFTED_GROUNDWATER_BASIN_RISK_LEVEL,CRITICALLY_OVERDRAFTED_GROUNDWATER_BASIN_THRESHOLD_MET,CRITICALLY_OVERDRAFTED_GROUNDWATER_BASIN_RAW_SCORE,CRITICALLY_OVERDRAFTED_GROUNDWATER_BASIN_WEIGHTED_SCORE,PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RISK_LEVEL,PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_THRESHOLD_MET,PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RAW_SCORE,PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_WEIGHTED_SCORE,EXTREME_WATER_BILL_RISK_LEVEL,EXTREME_WATER_BILL_THRESHOLD_MET,EXTREME_WATER_BILL_RAW_SCORE,EXTREME_WATER_BILL_WEIGHTED_SCORE,HOUSEHOLD_SOCIOECONOMIC_BURDEN_RISK_LEVEL,HOUSEHOLD_SOCIOECONOMIC_BURDEN_THRESHOLD_MET,HOUSEHOLD_SOCIOECONOMIC_BURDEN_RAW_SCORE,HOUSEHOLD_SOCIOECONOMIC_BURDEN_WEIGHTED_SCORE,TOTAL_NET_ANNUAL_INCOME_RISK_LEVEL,TOTAL_NET_ANNUAL_INCOME_THRESHOLD_MET,TOTAL_NET_ANNUAL_INCOME_RAW_SCORE,TOTAL_NET_ANNUAL_INCOME_WEIGHTED_SCORE,OPERATING_RATIO_RISK_LEVEL,OPERATING_RATIO_THRESHOLD_MET,OPERATING_RATIO_RAW_SCORE,OPERATING_RATIO_WEIGHTED_SCORE,DAYS_CASH_ON_HAND_RISK_LEVEL,DAYS_CASH_ON_HAND_THRESHOLD_MET,DAYS_CASH_ON_HAND_RAW_SCORE,DAYS_CASH_ON_HAND_WEIGHTED_SCORE,OPERATOR_CERTIFICATION_VIOLATIONS_RISK_LEVEL,OPERATOR_CERTIFICATION_VIOLATIONS_THRESHOLD_MET,OPERATOR_CERTIFICATION_VIOLATIONS_RAW_SCORE,OPERATOR_CERTIFICATION_VIOLATIONS_WEIGHTED_SCORE,MONITORING_AND_REPORTING_VIOLATIONS_RISK_LEVEL,MONITORING_AND_REPORTING_VIOLATIONS_THRESHOLD_MET,MONITORING_AND_REPORTING_VIOLATIONS_SCORE,MONITORING_AND_REPORTING_VIOLATIONS_WEIGHTED_SCORE,SIGNIFICANT_DEFICIENCIES_RISK_LEVEL,SIGNIFICANT_DEFICIENCIES_THRESHOLD_MET,SIGNIFICANT_DEFICIENCIES_RAW_SCORE,SIGNIFICANT_DEFICIENCIES_WEIGHTED_SCORE,FUNDING_RECEIVED_SINCE_2017,TECHNICAL_ASSISTANCE_FUNDING_SINCE_2017,LEGISTATIVE_DISTRICT,REGIONAL_BOARD,CREATED_DATE
1288,CA1500336,BURLANDO HEIGHTS MUTUAL WATER CO.,DISTRICT 19 - TEHACHAPI,KERN,COMMUNITY,41,44,PRIVATE,2 Dogwood Street,KERNVILLE,CA,93238,35.767856,-118.434623,SDAC,34489,29.0996378669011,Not At-Risk,Not Failing,Not At-Risk,,NO,,NO,,NO,,NO,,NO,,NO,,0.91,0.25,0.08,0.27,LOW,0.33,0.17,0.36,LOW,0.33,0.33,0.36,LOW,0.00,0.00,0.00,NONE,NONE,No history of E. coli presence over the last 3 years,0,0,MEDIUM,25% or more sources meeting the criteria (score range: 0 < n <= 0.5),0.25,0.50,NONE,No violation over the last three years,0,0,NONE,No Failing list occurrence over the last 3 years,0.0,0.0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,Less than 50% sources exceed an MCL,0,0,NONE,2 or more sources,0,0,HIGH,No intertie,1,1,NONE,No source capacity violations; and no Service Connection Moratoriums within the past 3 years,0,0,NONE,No occurrences of bottled/hauled water reliance within the last 3 years,0,0,NONE,Below top 25% of systems most at risk of drought and water shortage,0.00,0.00,NONE,No sources within a Critically Overdrafted Basin,0,0,NONE,Less than 1.5%,0,0.00,NONE,Below 150% of statewide average,0,0.00,MEDIUM,Combined score of 0.25 - 0.5,0.5,1.00,NONE,Greater than $0,0,0.00,NONE,1 or greater,0,0.00,NONE,1 or greater,0,0.00,NONE,No Operator Certification violations over the last three years,0,0.0,NONE,Less than 2 violations,0,0.0,NONE,No Significant Deficiencies over the last three years,0,0.0,0.0,0.0,State Senate District 16,Region 5 Central Valley (Fresno Office),2025-10-15
4431,CA4510014,BELLA VISTA WATER DISTRICT,DISTRICT 02 - LASSEN,SHASTA,COMMUNITY,6498,18612,LOCAL,11368 EAST STILLWATER WAY,REDDING,CA,96003,40.620487,-122.279606,Non-DAC,82042,9.15245324988087,Not At-Risk,Not Failing,Not At-Risk,,NO,,NO,,NO,,NO,,NO,,NO,,1.25,0.25,0.08,0.20,LOW,0.33,0.17,0.26,LOW,0.00,0.00,0.00,NONE,0.67,0.33,0.54,LOW,NONE,No history of E. coli presence over the last 3 years,0,0,MEDIUM,25% or more sources meeting the criteria (score range: 0 < n <= 0.5),0.25,0.50,NONE,No violation over the last three years,0,0,NONE,No Failing list occurrence over the last 3 years,0.0,0.0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,Less than 50% sources exceed an MCL,0,0,NONE,2 or more sources,0,0,HIGH,No intertie,1,1,NONE,No source capacity violations; and no Service Connection Moratoriums within the past 3 years,0,0,NONE,No occurrences of bottled/hauled water reliance within the last 3 years,0,0,Systems not assessed by DWR,Systems not assessed by DWR,Systems not assessed by DWR,Systems not assessed by DWR,NONE,No sources within a Critically Overdrafted Basin,0,0,NONE,Less than 1.5%,0,0.00,NONE,Below 150% of statewide average,0,0.00,NONE,Combined score of 0 - 0.125,0,0.00,HIGH,Less than $0,1,1.00,HIGH,Less than 1,1,1.00,NONE,1 or greater,0,0.00,NONE,No Operator Certification violations over the last three years,0,0.0,NONE,Less than 2 violations,0,0.0,NONE,No Significant Deficiencies over the last three years,0,0.0,0.0,0.0,State Senate District 1,Region 5 Central Valley (Redding Office),2025-10-15
1003,CA1100749,RIVER VALLEY CHRISTIAN SCHOOL,DISTRICT 21 - VALLEY,GLENN,NON-TRANSIENT NON-COMMUNITY,2,80,PRIVATE,"8187 CO. RD 48, EAST OF HWY 45",GLENN,CA,95943,39.534187,-122.006775,SDAC,46563,15.1466855456752,Not At-Risk,Not Failing,Not At-Risk,,NO,,NO,,NO,,NO,,NO,,NO,,1.33,0.00,0.00,0.00,NONE,1.33,0.67,1.00,HIGH,0.00,0.00,0.00,NONE,0.00,0.00,0.00,NONE,NONE,No history of E. coli presence over the last 3 years,0,0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,No violation over the last three years,0,0,NONE,No Failing list occurrence over the last 3 years,0.0,0.0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,Less than 50% sources exceed an MCL,0,0,HIGH,1 source,1,3,HIGH,No intertie,1,1,NONE,No source capacity violations; and no Service Connection Moratoriums within the past 3 years,0,0,NONE,No occurrences of bottled/hauled water reliance within the last 3 years,0,0,NONE,Below top 25% of systems most at risk of drought and water shortage,0.00,0.00,NONE,No sources within a Critically Overdrafted Basin,0,0,NONE,System does not charge customers directly for water,0,0.00,NONE,System does not charge customers directly for water,0,0.00,NONE,Combined score of 0 - 0.125,0,0.00,NONE,Systems serving military bases; NTNC systems that are K-12 schools,0,0.00,NONE,Systems serving military bases; NTNC systems that are K-12 schools,0,0.00,NONE,Systems serving military bases; NTNC systems that are K-12 schools,0,0.00,NONE,No Operator Certification violations over the last three years,0,0.0,NONE,Less than 2 violations,0,0.0,NONE,No Significant Deficiencies over the last three years,0,0.0,0.0,0.0,State Senate District 4,Region 5 Central Valley (Redding Office),2025-10-15
2847,CA2210925,YOSEMITE TERRACE ESTATES,DISTRICT 11 - MERCED,MARIPOSA,COMMUNITY,53,130,PRIVATE,6554 GREELEY HILL ROAD,GREELEY HILL,CA,95311,37.748804,-120.124644,SDAC,16377,15.7707894746217,At-Risk,Failing,Failing,2022-04-20,NO,,YES,IRON; MANGANESE,NO,,NO,,NO,,NO,,5.59,1.25,0.42,0.22,LOW,3.00,1.50,0.54,HIGH,0.67,0.67,0.12,MEDIUM,0.67,0.33,0.12,LOW,NONE,No history of E. coli presence over the last 3 years,0,0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,No violation over the last three years,0,0,MEDIUM,1 Failing list occurrence over the last 3 years,0.5,1.0,MEDIUM,25% or more sources meeting the criteria (score range: 0 < n <= 0.5),0.50,1.50,NONE,Less than 50% sources exceed an MCL,0,0,HIGH,1 source,1,3,HIGH,No intertie,1,1,NONE,No source capacity violations; and no Service Connection Moratoriums within the past 3 years,0,0,VERY HIGH,1 or more occurrence(s) of bottled/hauled water reliance within the last 3 years,1,3,HIGH,Top 10% of systems most at risk of drought and water shortage,1.00,2.00,NONE,No sources within a Critically Overdrafted Basin,0,0,NONE,System does not charge customers directly for water,0,0.00,NONE,System does not charge customers directly for water,0,0.00,HIGH,Combined score of 0.625 - 1.0,1,2.00,HIGH,Less than $0,1,1.00,HIGH,Less than 1,1,1.00,NONE,1 or greater,0,0.00,NONE,No Operator Certification violations over the last three years,0,0.0,NONE,Less than 2 violations,0,0.0,NONE,No Significant Deficiencies over the last three years,0,0.0,0.0,14371.15,State Senate District 8,Region 5 Central Valley (Sacramento Office),2025-10-15
8856,CA4400558,SAN ANDREAS MUTUAL WATER CO,LPA74 - SANTA CRUZ COUNTY,SANTA CRUZ,COMMUNITY,135,378,PRIVATE,166 Palm View Lane,LA SELVA BEACH,CA,95076,36.917523,-121.843847,Non-DAC,93162,35.9410035573065,At-Risk,Not Failing,At-Risk,,NO,,NO,,NO,,NO,,NO,,NO,,3.24,2.24,0.75,0.69,HIGH,1.00,0.50,0.31,MEDIUM,0.00,0.00,0.00,NONE,0.00,0.00,0.00,NONE,NONE,No history of E. coli presence over the last 3 years,0,0,HIGH,25% or more sources meeting the criteria (score range: 0.5 < n <= 1),1.00,2.00,NONE,No violation over the last three years,0,0,NONE,No Failing list occurrence over the last 3 years,0.0,0.0,HIGH,25% or more sources meeting the criteria (score range: 0.5 < n <= 1),0.83,2.49,NONE,Less than 50% sources exceed an MCL,0,0,NONE,2 or more sources,0,0,HIGH,No intertie,1,1,NONE,No source capacity violations; and no Service Connection Moratoriums within the past 3 years,0,0,NONE,No occurrences of bottled/hauled water reliance within the last 3 years,0,0,NONE,Below top 25% of systems most at risk of drought and water shortage,0.00,0.00,HIGH,1 or more source(s) within a Critically Overdrafted Basin,1,2,NONE,Less than 1.5%,0,0.00,NONE,Below 150% of statewide average,0,0.00,NONE,Combined score of 0 - 0.125,0,0.00,NONE,Greater than $0,0,0.00,NONE,1 or greater,0,0.00,NONE,1 or greater,0,0.00,NONE,No Operator Certification violations over the last three years,0,0.0,NONE,Less than 2 violations,0,0.0,NONE,No Significant Deficiencies over the last three years,0,0.0,0.0,0.0,State Senate District 17,Region 3 Central Coast,2025-10-15
3555,CA3310052,LAKE HEMET-GARNER VALLEY,DISTRICT 20 - RIVERSIDE,RIVERSIDE,COMMUNITY,288,709,LOCAL,26385 Fairview Ave.,HEMET,CA,92544,33.600009,-116.612448,DAC,59602,19.5545407264806,Not At-Risk,Not Failing,Not At-Risk,,NO,,NO,,NO,,NO,,NO,,NO,,0.33,0.00,0.00,0.00,NONE,0.33,0.17,1.00,LOW,0.00,0.00,0.00,NONE,0.00,0.00,0.00,NONE,NONE,No history of E. coli presence over the last 3 years,0,0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,No violation over the last three years,0,0,NONE,No Failing list occurrence over the last 3 years,0.0,0.0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,Less than 50% sources exceed an MCL,0,0,NONE,2 or more sources,0,0,HIGH,No intertie,1,1,NONE,No source capacity violations; and no Service Connection Moratoriums within the past 3 years,0,0,NONE,No occurrences of bottled/hauled water reliance within the last 3 years,0,0,NONE,Below top 25% of systems most at risk of drought and water shortage,0.00,0.00,NONE,No sources within a Critically Overdrafted Basin,0,0,NONE,Less than 1.5%,0,0.00,NONE,Below 150% of statewide average,0,0.00,NONE,Combined score of 0 - 0.125,0,0.00,NONE,Greater than $0,0,0.00,NONE,1 or greater,0,0.00,NONE,1 or greater,0,0.00,NONE,No Operator Certification violations over the last three years,0,0.0,NONE,Less than 2 violations,0,0.0,NONE,No Significant Deficiencies over the last three years,0,0.0,0.0,0.0,State Senate District 28,Region 8 Santa Ana,2025-10-15
5430,CA4901314,ODIYAN BUDDHIST RETREAT CENTER,DISTRICT 18 - SONOMA,SONOMA,COMMUNITY,8,35,PRIVATE,33755 Tin Barn Road,CAZADERO,CA,95421,38.621909,-123.320621,DAC,59028,12.9164053111075,Potentially At-Risk,Not Failing,Potentially At-Risk,,NO,,NO,,NO,,NO,,NO,,NO,,2.58,0.25,0.08,0.10,LOW,0.33,0.17,0.13,LOW,2.00,2.00,0.78,HIGH,0.00,0.00,0.00,NONE,NONE,No history of E. coli presence over the last 3 years,0,0,MEDIUM,25% or more sources meeting the criteria (score range: 0 < n <= 0.5),0.25,0.50,NONE,No violation over the last three years,0,0,NONE,No Failing list occurrence over the last 3 years,0.0,0.0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,Less than 50% sources exceed an MCL,0,0,NONE,2 or more sources,0,0,HIGH,No intertie,1,1,NONE,No source capacity violations; and no Service Connection Moratoriums within the past 3 years,0,0,NONE,No occurrences of bottled/hauled water reliance within the last 3 years,0,0,NONE,Below top 25% of systems most at risk of drought and water shortage,0.00,0.00,NONE,No sources within a Critically Overdrafted Basin,0,0,UNKNOWN,UNKNOWN,MISSING,MISSING,UNKNOWN,UNKNOWN,MISSING,MISSING,HIGH,Combined score of 0.625 - 1.0,1,2.00,UNKNOWN,UNKNOWN,MISSING,MISSING,UNKNOWN,UNKNOWN,MISSING,MISSING,UNKNOWN,UNKNOWN,MISSING,MISSING,NONE,No Operator Certification violations over the last three years,0,0.0,NONE,Less than 2 violations,0,0.0,NONE,No Significant Deficiencies over the last three years,0,0.0,0.0,0.0,Missing,Missing,2025-10-15
7371,CA5000249,STANISLAUS UNION SCHOOL DIST,LPA80 - STANISLAUS COUNTY,STANISLAUS,NON-TRANSIENT NON-COMMUNITY,1,390,LOCAL,1931 KIERNAN AVE,MODESTO,CA,95350,37.712292,-121.028147,Non-DAC,89146,31.3607891359892,At-Risk,Failing,Failing,2019-05-24,YES,"1,2,3-TRICHLOROPROPANE",NO,,NO,,NO,,NO,,NO,,4.00,2.50,0.83,0.63,HIGH,1.50,0.75,0.38,HIGH,0.00,0.00,0.00,NONE,0.00,0.00,0.00,NONE,NONE,No history of E. coli presence over the last 3 years,0,0,MEDIUM,25% or more sources meeting the criteria (score range: 0 < n <= 0.5),0.50,1.00,NONE,No violation over the last three years,0,0,MEDIUM,1 Failing list occurrence over the last 3 years,0.5,1.0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,HIGH,50% or more sources exceed an MCL,1,3,HIGH,1 source,1,3,HIGH,No intertie,1,1,NONE,No source capacity violations; and no Service Connection Moratoriums within the past 3 years,0,0,NONE,No occurrences of bottled/hauled water reliance within the last 3 years,0,0,LOW,Top 25% of systems most at risk of drought and water shortage,0.25,0.50,NONE,No sources within a Critically Overdrafted Basin,0,0,NONE,System does not charge customers directly for water,0,0.00,NONE,System does not charge customers directly for water,0,0.00,NONE,Combined score of 0 - 0.125,0,0.00,NONE,Systems serving military bases; NTNC systems that are K-12 schools,0,0.00,NONE,Systems serving military bases; NTNC systems that are K-12 schools,0,0.00,NONE,Systems serving military bases; NTNC systems that are K-12 schools,0,0.00,NONE,No Operator Certification violations over the last three years,0,0.0,NONE,Less than 2 violations,0,0.0,NONE,No Significant Deficiencies over the last three years,0,0.0,0.0,638874.46,State Senate District 5,Region 5 Central Valley (Sacramento Office),2025-10-15
4345,CA4300996,VALLEY VIEW RANCHES,DISTRICT 17 - SANTA CLARA,SANTA CLARA,COMMUNITY,16,45,PRIVATE,GREEN VALLEY DRIVE,GILROY,CA,95020,37.052466,-121.601937,Non-DAC,131477,24.4189313219157,At-Risk,Not Failing,At-Risk,,NO,,NO,,NO,,NO,,NO,,NO,,6.50,3.00,1.00,0.46,HIGH,1.50,0.75,0.23,HIGH,1.67,1.67,0.26,HIGH,0.33,0.17,0.05,LOW,NONE,No history of E. coli presence over the last 3 years,0,0,HIGH,25% or more sources meeting the criteria (score range: 0.5 < n <= 1),1.00,2.00,NONE,No violation over the last three years,0,0,MEDIUM,1 Failing list occurrence over the last 3 years,0.5,1.0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,HIGH,50% or more sources exceed an MCL,1,3,HIGH,1 source,1,3,HIGH,No intertie,1,1,NONE,No source capacity violations; and no Service Connection Moratoriums within the past 3 years,0,0,NONE,No occurrences of bottled/hauled water reliance within the last 3 years,0,0,LOW,Top 25% of systems most at risk of drought and water shortage,0.25,0.50,NONE,No sources within a Critically Overdrafted Basin,0,0,HIGH,2.5% or greater,1.0,3.00,HIGH,Equal to or greater than 200% of statewide average,1.0,1.00,MEDIUM,Combined score of 0.25 - 0.5,0.5,1.00,HIGH,Less than $0,1,1.00,NONE,1 or greater,0,0.00,NONE,1 or greater,0,0.00,NONE,No Operator Certification violations over the last three years,0,0.0,NONE,Less than 2 violations,0,0.0,NONE,No Significant Deficiencies over the last three years,0,0.0,0.0,0.0,State Senate District 17,Region 3 Central Coast,2025-10-15
3698,CA3500579,VINEYARD ESTATES MWC,DISTRICT 05 - MONTEREY,SAN BENITO,COMMUNITY,26,90,PRIVATE,6540 CABERNET DRIVE,HOLLISTER,CA,95023,36.792141,-121.359042,Non-DAC,110724,9.1087663435372,At-Risk,Not Failing,At-Risk,,NO,,NO,,NO,,NO,,NO,,NO,,3.50,1.50,0.50,0.43,MEDIUM,1.33,0.67,0.38,HIGH,0.00,0.00,0.00,NONE,0.67,0.33,0.19,LOW,HIGH,Yes history of E. coli presence over the last 3 years,1,3,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,No violation over the last three years,0,0,NONE,No Failing list occurrence over the last 3 years,0.0,0.0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,Less than 50% sources exceed an MCL,0,0,HIGH,1 source,1,3,HIGH,No intertie,1,1,NONE,No source capacity violations; and no Service Connection Moratoriums within the past 3 years,0,0,NONE,No occurrences of bottled/hauled water reliance within the last 3 years,0,0,NONE,Below top 25% of systems most at risk of drought and water shortage,0.00,0.00,NONE,No sources within a Critically Overdrafted Basin,0,0,NONE,Less than 1.5%,0,0.00,NONE,Below 150% of statewide average,0,0.00,NONE,Combined score of 0 - 0.125,0,0.00,HIGH,Less than $0,1,1.00,HIGH,Less than 1,1,1.00,NONE,1 or greater,0,0.00,NONE,No Operator Certification violations over the last three years,0,0.0,NONE,Less than 2 violations,0,0.0,NONE,No Significant Deficiencies over the last three years,0,0.0,0.0,0.0,State Senate District 12,Region 3 Central Coast,2025-10-15
